 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   1. 2.2026    Time:  18:10:40
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.045     0.430       0.0   0.177E+02     1.000     0.000     1.000     1.000     1.000
    2      1.00     0.078     0.430       0.0   0.175E+02     0.991     0.000     1.000     1.000     1.000
    3      2.00     0.078     0.430       0.0   0.174E+02     0.987     0.000     1.000     1.000     1.000
    4      3.00     0.078     0.430       0.0   0.174E+02     0.987     0.000     1.000     1.000     1.000
    5      4.00     0.078     0.430       0.0   0.175E+02     0.992     0.000     1.000     1.000     1.000
    6      5.00     0.078     0.430       0.0   0.176E+02     0.999     0.000     1.000     1.000     1.000
    7      6.00     0.078     0.430       0.0   0.178E+02     1.008     0.000     1.000     1.000     1.000
    8      7.00     0.078     0.430       0.0   0.180E+02     1.017     0.000     1.000     1.000     1.000
    9      8.00     0.078     0.430       0.0   0.181E+02     1.025     0.000     1.000     1.000     1.000
   10      9.00     0.078     0.430       0.0   0.182E+02     1.030     0.000     1.000     1.000     1.000
   11     10.00     0.078     0.430       0.0   0.182E+02     1.030     0.000     1.000     1.000     1.000
   12     11.00     0.078     0.430       0.0   0.181E+02     1.024     0.000     1.000     1.000     1.000
   13     12.00     0.078     0.430       0.0   0.179E+02     1.014     0.000     1.000     1.000     1.000
   14     13.00     0.078     0.430       0.0   0.176E+02     1.000     0.000     1.000     1.000     1.000
   15     14.00     0.078     0.430       0.0   0.174E+02     0.983     0.000     1.000     1.000     1.000
   16     15.00     0.078     0.430       0.0   0.171E+02     0.967     0.000     1.000     1.000     1.000
   17     16.00     0.078     0.430       0.0   0.168E+02     0.954     0.000     1.000     1.000     1.000
   18     17.00     0.078     0.430       0.0   0.167E+02     0.947     0.000     1.000     1.000     1.000
   19     18.00     0.078     0.430       0.0   0.167E+02     0.948     0.000     1.000     1.000     1.000
   20     19.00     0.078     0.430       0.0   0.169E+02     0.958     0.000     1.000     1.000     1.000
   21     20.00     0.078     0.430       0.0   0.172E+02     0.977     0.000     1.000     1.000     1.000
   22     21.00     0.078     0.430       0.0   0.177E+02     1.004     0.000     1.000     1.000     1.000
   23     22.00     0.078     0.430       0.0   0.183E+02     1.037     0.000     1.000     1.000     1.000
   24     23.00     0.078     0.430       0.0   0.189E+02     1.071     0.000     1.000     1.000     1.000
   25     24.00     0.078     0.430       0.0   0.194E+02     1.099     0.000     1.000     1.000     1.000
   26     25.00     0.078     0.430       0.0   0.197E+02     1.116     0.000     1.000     1.000     1.000
   27     26.00     0.078     0.430       0.0   0.197E+02     1.114     0.000     1.000     1.000     1.000
   28     27.00     0.078     0.430       0.0   0.192E+02     1.090     0.000     1.000     1.000     1.000
   29     28.00     0.078     0.430       0.0   0.184E+02     1.043     0.000     1.000     1.000     1.000
   30     29.00     0.078     0.430       0.0   0.173E+02     0.979     0.000     1.000     1.000     1.000
   31     30.00     0.078     0.430       0.0   0.160E+02     0.904     0.000     1.000     1.000     1.000
   32     31.00     0.078     0.430       0.0   0.146E+02     0.827     0.000     1.000     1.000     1.000
   33     32.00     0.078     0.430       0.0   0.133E+02     0.756     0.000     1.000     1.000     1.000
   34     33.00     0.078     0.430       0.0   0.123E+02     0.696     0.000     1.000     1.000     1.000
   35     34.00     0.078     0.430       0.0   0.115E+02     0.652     0.000     1.000     1.000     1.000
   36     35.00     0.078     0.430       0.0   0.111E+02     0.627     0.000     1.000     1.000     1.000
   37     36.00     0.078     0.430       0.0   0.110E+02     0.622     0.000     1.000     1.000     1.000
   38     37.00     0.078     0.430       0.0   0.113E+02     0.638     0.000     1.000     1.000     1.000
   39     38.00     0.078     0.430       0.0   0.119E+02     0.676     0.000     1.000     1.000     1.000
   40     39.00     0.078     0.430       0.0   0.130E+02     0.737     0.000     1.000     1.000     1.000
   41     40.00     0.078     0.430       0.0   0.145E+02     0.822     0.000     1.000     1.000     1.000
   42     41.00     0.078     0.430       0.0   0.164E+02     0.928     0.000     1.000     1.000     1.000
   43     42.00     0.078     0.430       0.0   0.185E+02     1.050     0.000     1.000     1.000     1.000
   44     43.00     0.078     0.430       0.0   0.209E+02     1.182     0.000     1.000     1.000     1.000
   45     44.00     0.078     0.430       0.0   0.232E+02     1.312     0.000     1.000     1.000     1.000
   46     45.00     0.078     0.430       0.0   0.252E+02     1.429     0.000     1.000     1.000     1.000
   47     46.00     0.078     0.430       0.0   0.269E+02     1.526     0.000     1.000     1.000     1.000
   48     47.00     0.078     0.430       0.0   0.282E+02     1.598     0.000     1.000     1.000     1.000
   49     48.00     0.078     0.430       0.0   0.291E+02     1.648     0.000     1.000     1.000     1.000
   50     49.00     0.078     0.430       0.0   0.297E+02     1.683     0.000     1.000     1.000     1.000
   51     50.00     0.078     0.430       0.0   0.302E+02     1.712     0.000     1.000     1.000     1.000
   52     51.00     0.078     0.430       0.0   0.308E+02     1.747     0.000     1.000     1.000     1.000
   53     52.00     0.078     0.430       0.0   0.317E+02     1.795     0.000     1.000     1.000     1.000
   54     53.00     0.078     0.430       0.0   0.329E+02     1.863     0.000     1.000     1.000     1.000
   55     54.00     0.078     0.430       0.0   0.345E+02     1.952     0.000     1.000     1.000     1.000
   56     55.00     0.078     0.430       0.0   0.364E+02     2.060     0.000     1.000     1.000     1.000
   57     56.00     0.078     0.430       0.0   0.385E+02     2.180     0.000     1.000     1.000     1.000
   58     57.00     0.078     0.430       0.0   0.406E+02     2.300     0.000     1.000     1.000     1.000
   59     58.00     0.078     0.430       0.0   0.425E+02     2.406     0.000     1.000     1.000     1.000
   60     59.00     0.078     0.430       0.0   0.439E+02     2.485     0.000     1.000     1.000     1.000
   61     60.00     0.078     0.430       0.0   0.446E+02     2.527     0.000     1.000     1.000     1.000
   62     61.00     0.078     0.430       0.0   0.446E+02     2.529     0.000     1.000     1.000     1.000
   63     62.00     0.078     0.430       0.0   0.441E+02     2.499     0.000     1.000     1.000     1.000
   64     63.00     0.078     0.430       0.0   0.432E+02     2.449     0.000     1.000     1.000     1.000
   65     64.00     0.078     0.430       0.0   0.423E+02     2.395     0.000     1.000     1.000     1.000
   66     65.00     0.078     0.430       0.0   0.416E+02     2.356     0.000     1.000     1.000     1.000
