 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   1. 2.2026    Time:  18:10:40
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    3        3    -4    -5     T
        2  0.2000000E-02  0.10000E-02    2        5    -4    -5     T
        3  0.3300000E-02  0.13000E-02    2        7    -4    -5     T
        4  0.4990000E-02  0.16900E-02    2        9    -4    -5     T
        5  0.7187000E-02  0.21970E-02    2       11    -4    -5     T
        6  0.1004310E-01  0.28561E-02    2       13    -4    -5     T
        7  0.1375603E-01  0.37129E-02    2       15    -4    -5     T
        8  0.1858284E-01  0.48268E-02    4       19    -4    -5     T
        9  0.2340965E-01  0.48268E-02    2       21    -4    -5     T
       10  0.2968450E-01  0.62749E-02    2       23    -4    -5     T
       11  0.3749733E-01  0.78128E-02    3       26    -4    -5     T
       12  0.4791444E-01  0.10417E-01    4       30    -4    -5     T
       13  0.5833155E-01  0.10417E-01    3       33    -4    -5     T
       14  0.7222103E-01  0.13889E-01    5       38    -4    -5     T
       15  0.8611052E-01  0.13889E-01    3       41    -4    -5     T
       16  0.1000000E+00  0.13889E-01    3       44    -4    -5     T
       17  0.1166667E+00  0.16667E-01    2       46    -4    -5     T
       18  0.1375000E+00  0.20833E-01    4       50    -4    -5     T
       19  0.1583333E+00  0.20833E-01    4       54    -4    -5     T
       20  0.1791667E+00  0.20833E-01    4       58    -4    -5     T
       21  0.2000000E+00  0.20833E-01    3       61    -4    -5     T
       22  0.2333333E+00  0.33333E-01    4       65    -4    -5     T
       23  0.2666667E+00  0.33333E-01    4       69    -4    -5     T
       24  0.3000000E+00  0.33333E-01    4       73    -4    -5     T
       25  0.3333333E+00  0.33333E-01    3       76    -4    -5     T
       26  0.3666667E+00  0.33333E-01    4       80    -4    -5     T
       27  0.4000000E+00  0.33333E-01    4       84    -4    -5     T
       28  0.4333333E+00  0.33333E-01    3       87    -4    -5     T
       29  0.5000000E+00  0.66667E-01    6       93    -4    -5     T
       30  0.5500000E+00  0.50000E-01    4       97    -4    -5     T
       31  0.6000000E+00  0.50000E-01    4      101    -4    -5     T
       32  0.6500000E+00  0.50000E-01    4      105    -4    -5     T
       33  0.7000000E+00  0.50000E-01    4      109    -4    -5     T
       34  0.7500000E+00  0.50000E-01    4      113    -4    -5     T
       35  0.8000000E+00  0.50000E-01    4      117    -4    -5     T
       36  0.8500000E+00  0.50000E-01    4      121    -4    -5     T
       37  0.9000000E+00  0.50000E-01    4      125    -4    -5     T
       38  0.9500000E+00  0.50000E-01    4      129    -4    -5     T
       39  0.1000000E+01  0.50000E-01    4      133    -4    -5     T
       40  0.1050000E+01  0.50000E-01    4      137    -4    -5     T
       41  0.1100000E+01  0.50000E-01    4      141    -4    -5     T
       42  0.1150000E+01  0.50000E-01    4      145    -4    -5     T
       43  0.1200000E+01  0.50000E-01    4      149    -4    -5     T
       44  0.1250000E+01  0.50000E-01    5      154    -4    -5     T
       45  0.1300000E+01  0.50000E-01    5      159    -4    -5     T
       46  0.1350000E+01  0.50000E-01    5      164    -4    -5     T
       47  0.1400000E+01  0.50000E-01    4      168    -4    -5     T
       48  0.1450000E+01  0.50000E-01    5      173    -4    -5     T
       49  0.1500000E+01  0.50000E-01    6      179    -4    -5     T
       50  0.1550000E+01  0.50000E-01    6      185    -4    -5     T
       51  0.1600000E+01  0.50000E-01    6      191    -4    -5     T
       52  0.1650000E+01  0.50000E-01    7      198    -4    -5     T
       53  0.1700000E+01  0.50000E-01    6      204    -4    -5     T
       54  0.1733333E+01  0.33333E-01    5      209    -4    -5     T
       55  0.1766667E+01  0.33333E-01    4      213    -4    -5     T
       56  0.1800000E+01  0.33333E-01    4      217    -4    -5     T
       57  0.1833333E+01  0.33333E-01    4      221    -4    -5     T
       58  0.1866667E+01  0.33333E-01    4      225    -4    -5     T
       59  0.1900000E+01  0.33333E-01    4      229    -4    -5     T
